batch,logical_second,utc_time,label,payload_bytes,rows,latency_ms,status,loaded_rows,loaded_bytes,load_time_ms
1650,1650,2026-08-28T08:48:42+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01650,526322,31,361.342,Success,31,526322,358
1651,1651,2026-08-28T08:48:43+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01651,525968,31,378.993,Success,31,525968,375
1652,1652,2026-08-28T08:48:44+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01652,526853,31,356.864,Success,31,526853,353
1653,1653,2026-08-28T08:48:45+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01653,526428,31,352.666,Success,31,526428,347
1654,1654,2026-08-28T08:48:46+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01654,526347,31,375.256,Success,31,526347,371
1655,1655,2026-08-28T08:48:47+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01655,526067,31,304.479,Success,31,526067,300
1656,1656,2026-08-28T08:48:48+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01656,527214,31,421.154,Success,31,527214,417
1657,1657,2026-08-28T08:48:49+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01657,526268,31,502.901,Success,31,526268,498
1658,1658,2026-08-28T08:48:50+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01658,526787,31,413.9,Success,31,526787,409
1659,1659,2026-08-28T08:48:51+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01659,526675,31,372.193,Success,31,526675,367
1660,1660,2026-08-28T08:48:52+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01660,527098,31,410.456,Success,31,527098,405
1661,1661,2026-08-28T08:48:53+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01661,526028,31,404.516,Success,31,526028,399
1662,1662,2026-08-28T08:48:54+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01662,526552,31,402.275,Success,31,526552,397
1663,1663,2026-08-28T08:48:55+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01663,525602,31,390.164,Success,31,525602,385
1664,1664,2026-08-28T08:48:56+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01664,526896,31,413.128,Success,31,526896,414
1665,1665,2026-08-28T08:48:57+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01665,527008,31,411.296,Success,31,527008,411
1666,1666,2026-08-28T08:48:58+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01666,526274,31,399.729,Success,31,526274,397
1667,1667,2026-08-28T08:48:59+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01667,526866,31,459.736,Success,31,526866,459
1668,1668,2026-08-28T08:49:00+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01668,526171,31,420.281,Success,31,526171,419
1669,1669,2026-08-28T08:49:01+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01669,527927,31,437.571,Success,31,527927,434
1670,1670,2026-08-28T08:49:02+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01670,526422,31,479.672,Success,31,526422,477
