epoch,utc_time,stage,total_versions,max_versions,total_rowsets,max_rowsets,total_segments,max_segments,data_size,num_rows
1787908177.15721,2026-08-28T09:09:37+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,359960301.0,12772.0
1787908182.1826298,2026-08-28T09:09:42+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,363285932.0,12927.0
1787908187.2072551,2026-08-28T09:09:47+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,367849880.0,13082.0
1787908192.231694,2026-08-28T09:09:52+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,372435822.0,13237.0
1787908197.257071,2026-08-28T09:09:57+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,377311786.0,13392.0
1787908202.278562,2026-08-28T09:10:02+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,381634716.0,13547.0
1787908207.30141,2026-08-28T09:10:07+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,386412669.0,13702.0
1787908212.324618,2026-08-28T09:10:12+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,390153112.0,13857.0
1787908217.343146,2026-08-28T09:10:17+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,394661829.0,14012.0
1787908222.363961,2026-08-28T09:10:22+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,398446400.0,14167.0
1787908227.38483,2026-08-28T09:10:27+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,404015975.0,14322.0
1787908232.4088,2026-08-28T09:10:32+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,408048085.0,14477.0
1787908237.431314,2026-08-28T09:10:37+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,412596439.0,14632.0
1787908242.4496949,2026-08-28T09:10:42+00:00,http_log_35m_x1,16.0,16.0,16.0,16.0,16.0,16.0,417444984.0,14787.0
1787908247.471616,2026-08-28T09:10:47+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,420368670.0,14942.0
1787908252.496587,2026-08-28T09:10:52+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,425801495.0,15097.0
1787908257.504135,2026-08-28T09:10:57+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,429533995.0,15252.0
1787908262.512355,2026-08-28T09:11:02+00:00,http_log_35m_x1,16.0,16.0,16.0,16.0,16.0,16.0,433967059.0,15407.0
1787908267.531497,2026-08-28T09:11:07+00:00,http_log_35m_x1,17.0,17.0,17.0,17.0,17.0,17.0,438763245.0,15562.0
1787908272.5492601,2026-08-28T09:11:12+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,442236570.0,15717.0
1787908277.5692859,2026-08-28T09:11:17+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,446808165.0,15872.0
1787908282.594696,2026-08-28T09:11:22+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,451032390.0,16027.0
1787908287.616093,2026-08-28T09:11:27+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,455605738.0,16182.0
1787908292.639818,2026-08-28T09:11:32+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,459646562.0,16337.0
1787908297.660151,2026-08-28T09:11:37+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,463816204.0,16492.0
1787908302.680083,2026-08-28T09:11:42+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,468976255.0,16647.0
1787908307.696367,2026-08-28T09:11:47+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,473272600.0,16802.0
1787908312.7133389,2026-08-28T09:11:52+00:00,http_log_35m_x1,6.0,6.0,6.0,6.0,6.0,6.0,476323867.0,16957.0
1787908317.7387562,2026-08-28T09:11:57+00:00,http_log_35m_x1,7.0,7.0,7.0,7.0,7.0,7.0,480919826.0,17112.0
1787908322.7634308,2026-08-28T09:12:02+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,485496600.0,17267.0
1787908327.7824378,2026-08-28T09:12:07+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,489971580.0,17422.0
1787908332.8047738,2026-08-28T09:12:12+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,494745150.0,17577.0
1787908337.82585,2026-08-28T09:12:17+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,498718241.0,17732.0
1787908342.8472168,2026-08-28T09:12:22+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,503371140.0,17887.0
1787908347.866369,2026-08-28T09:12:27+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,508318083.0,18073.0
1787908352.890838,2026-08-28T09:12:32+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,513126810.0,18228.0
1787908357.907937,2026-08-28T09:12:37+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,517984136.0,18383.0
1787908362.9267352,2026-08-28T09:12:42+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,522335769.0,18538.0
1787908367.944253,2026-08-28T09:12:47+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,525619205.0,18693.0
1787908372.9682639,2026-08-28T09:12:53+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,530682950.0,18848.0
1787908377.9906938,2026-08-28T09:12:58+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,534424677.0,19003.0
1787908383.007186,2026-08-28T09:13:03+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,538856234.0,19158.0
1787908388.029836,2026-08-28T09:13:08+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,543882772.0,19313.0
1787908393.04497,2026-08-28T09:13:13+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,548031473.0,19468.0
